model;variable_count;test_accuracy;test_params;test_precision;test_recall;test_f1;test_roc_auc;test_kappa
DT;9;0,705;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2};0,699;0,705;0,701;0,671;0,351
NB;10;0,568;{'priors': None, 'var_smoothing': 1e-09};0,653;0,568;0,568;0,611;0,193
KNN;10;0,789;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};0,787;0,789;0,786;0,762;0,537
svm;10;0,695;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,687;0,695;0,689;0,657;0,324
random_forest;10;0,726;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10};0,721;0,726;0,722;0,694;0,398
DT;10;0,705;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3};0,714;0,705;0,708;0,695;0,381
NB;11;0,568;{'priors': None, 'var_smoothing': 1e-09};0,653;0,568;0,568;0,611;0,193
KNN;11;0,779;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'};0,775;0,779;0,775;0,748;0,51
svm;11;0,705;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,696;0,705;0,695;0,66;0,335
random_forest;11;0,789;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,787;0,789;0,785;0,756;0,531
DT;11;0,642;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3};0,668;0,642;0,648;0,645;0,274
NB;12;0,568;{'priors': None, 'var_smoothing': 1e-09};0,653;0,568;0,568;0,611;0,193
KNN;12;0,779;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};0,775;0,779;0,775;0,748;0,51
svm;12;0,684;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,675;0,684;0,677;0,643;0,296
random_forest;12;0,768;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,765;0,768;0,765;0,739;0,49
DT;12;0,716;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4};0,732;0,716;0,72;0,715;0,414
NB;13;0,547;{'priors': None, 'var_smoothing': 1e-09};0,65;0,547;0,542;0,6;0,171
KNN;13;0,768;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};0,764;0,768;0,763;0,733;0,484
svm;13;0,695;{'C': 100, 'degree': 3, 'kernel': 'linear'};0,689;0,695;0,665;0,621;0,27
random_forest;13;0,747;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,742;0,747;0,742;0,711;0,437
DT;13;0,684;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};0,684;0,684;0,684;0,661;0,321
;;0,00;;;;;;
